cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TB,168,1.67902,2.6615,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.8
TB,169,1.67903,2.66149,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.8
TB,170,1.679,2.66167,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.8
TB,171,1.67896,2.66181,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
TB,172,1.67899,2.66183,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
TB,173,1.67884,2.66187,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.8
TB,174,1.67883,2.66187,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.8
TB,175,1.67885,2.66174,2.47799,0.1947,0.19783,1.0000000000000004e-08,0,11.7
TB,176,1.67888,2.66167,2.47799,0.19471,0.19783,1.0000000000000004e-08,0,11.8
TB,177,1.67884,2.66168,2.47799,0.19471,0.19783,1.0000000000000004e-08,0,11.7
TB,178,1.67883,2.6617,2.47799,0.19473,0.19783,1.0000000000000004e-08,0,11.8
TB,179,1.67882,2.66148,2.47799,0.19471,0.19783,1.0000000000000004e-08,0,11.7
TB,180,1.67873,2.66167,2.47799,0.19474,0.19783,1.0000000000000004e-08,0,11.7
TB,181,1.67868,2.66143,2.47799,0.1948,0.19783,1.0000000000000004e-08,0,11.7
TB,182,1.67866,2.66153,2.47799,0.19479,0.19783,1.0000000000000004e-08,0,11.8
TB,183,1.67861,2.66154,2.47799,0.19481,0.19783,1.0000000000000004e-08,0,11.8
TB,184,1.67859,2.66153,2.47799,0.19481,0.19783,1.0000000000000004e-08,0,11.8
TB,185,1.67856,2.66142,2.47799,0.19484,0.19783,1.0000000000000004e-08,0,11.8
TB,186,1.67858,2.66155,2.47799,0.19478,0.19783,1.0000000000000004e-08,0,11.8
TB,187,1.67853,2.66186,2.47799,0.19478,0.19783,1.0000000000000004e-08,0,11.8
TB,188,1.6785,2.66179,2.47799,0.1948,0.19783,1.0000000000000004e-08,0,11.7
TB,189,1.67853,2.66179,2.47799,0.1948,0.19783,1.0000000000000004e-08,0,11.7
TB,190,1.67853,2.66163,2.47799,0.19477,0.19783,1.0000000000000004e-08,0,11.7
TB,191,1.67849,2.66172,2.47799,0.19479,0.19783,1.0000000000000004e-08,0,11.7
TB,192,1.67884,2.66055,2.47799,0.19465,0.19783,1.0000000000000004e-08,0,11.7
TB,193,1.67879,2.66067,2.47799,0.19464,0.19783,1.0000000000000004e-08,0,11.7
TB,194,1.67875,2.66075,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.7
TB,195,1.67872,2.66077,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.7
TB,196,1.67882,2.66052,2.47799,0.1946,0.19783,1.0000000000000004e-08,0,11.7
TB,197,1.67843,2.66185,2.47799,0.19473,0.19783,1.0000000000000004e-08,0,11.8
TB,198,1.67835,2.66195,2.47799,0.19474,0.19783,1.0000000000000004e-08,0,11.8
TB,199,1.67834,2.66182,2.47799,0.19484,0.19783,1.0000000000000004e-08,0,11.8
TB,200,1.6783,2.66181,2.47799,0.19486,0.19783,1.0000000000000004e-08,0,11.8
