cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TD,177,0.34471,0.64799,0.64441,0.302,0.41402,0.38368,0.03298,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,178,0.3447,0.64816,0.64441,0.30125,0.41401,0.38326,0.03297,0.06721,0.35119,1.0000000000000004e-08,0,11.8
TD,179,0.34471,0.6482,0.64441,0.30124,0.41403,0.38324,0.03297,0.06721,0.35119,1.0000000000000004e-08,0,11.8
TD,180,0.34471,0.64782,0.64441,0.30307,0.41405,0.38424,0.03296,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,181,0.34472,0.64782,0.64441,0.3031,0.41403,0.3843,0.03297,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,182,0.34471,0.64769,0.64441,0.30336,0.41427,0.38432,0.03295,0.06716,0.35119,1.0000000000000004e-08,0,11.8
TD,183,0.34471,0.64801,0.64441,0.30167,0.41429,0.38343,0.03295,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,184,0.3447,0.64801,0.64441,0.30173,0.41431,0.38349,0.03295,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,185,0.3447,0.64813,0.64441,0.30159,0.41429,0.38343,0.03296,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,186,0.3447,0.64805,0.64441,0.30167,0.41425,0.38346,0.03296,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,187,0.3447,0.64806,0.64441,0.30163,0.41427,0.38344,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,188,0.3447,0.64805,0.64441,0.3017,0.41424,0.38352,0.03296,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,189,0.34469,0.64805,0.64441,0.30161,0.41423,0.38341,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,190,0.34469,0.64805,0.64441,0.30167,0.41425,0.38345,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.8
TD,191,0.34468,0.64805,0.64441,0.30166,0.41423,0.38345,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.9
TD,192,0.34468,0.64804,0.64441,0.30167,0.41423,0.38344,0.03295,0.06719,0.35119,1.0000000000000004e-08,0,11.9
TD,193,0.34467,0.64807,0.64441,0.30148,0.41429,0.38321,0.03292,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,194,0.34466,0.64807,0.64441,0.30148,0.41435,0.38321,0.03292,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,195,0.34466,0.64807,0.64441,0.30141,0.41428,0.38319,0.03293,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,196,0.34465,0.64806,0.64441,0.30141,0.41424,0.3832,0.03293,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,197,0.34465,0.64803,0.64441,0.3015,0.4143,0.38328,0.03293,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,198,0.34466,0.64803,0.64441,0.30149,0.41427,0.38328,0.03293,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,199,0.34466,0.64808,0.64441,0.30142,0.41431,0.38318,0.03292,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,200,0.34466,0.64807,0.64441,0.30142,0.41434,0.38317,0.03289,0.0672,0.35119,1.0000000000000004e-08,0,11.9
